open_date_year,application_for,ballots_in_favour,ballots_distributed,ballots_returned,poll_result
2016,Permit Parking,10,60,24,Opposed
2016,Front Yard Parking,37,117,41,In Favour
2016,Front Yard Parking,45,125,63,In Favour
2016,Front Yard Parking,35,109,35,In Favour
2016,Appeal - Front Yard Parking,40,77,42,In Favour
2016,Boulevard Cafe,36,114,53,In Favour
2016,Appeal - Front Yard Parking,38,131,58,In Favour
2016,Appeal - Front Yard Parking,17,53,18,In Favour
2016,Appeal - Front Yard Parking,25,136,46,In Favour
2016,Appeal - Front Yard Parking,18,61,25,In Favour
2016,Appeal - Front Yard Parking,26,108,40,In Favour
2016,Appeal - Front Yard Parking,32,116,35,In Favour
2016,Front Yard Parking,44,79,46,In Favour
2016,Permit Parking,0,23,9,Opposed
2016,Permit Parking,36,150,52,In Favour
2016,Appeal - Front Yard Parking,21,69,24,In Favour
2016,Front Yard Parking,14,23,14,In Favour
2016,Front Yard Parking,81,159,82,In Favour
2016,Front Yard Parking,43,82,45,In Favour
2016,Front Yard Parking,39,73,44,In Favour
2016,Appeal - Front Yard Parking,27,117,52,Opposed
2016,Boulevard Cafe,37,99,52,In Favour
2016,Appeal - Front Yard Parking,32,115,43,In Favour
2016,Appeal - Front Yard Parking,27,145,45,In Favour
2016,Front Yard Parking,25,68,28,In Favour
2016,Appeal - Front Yard Parking,6,58,32,Opposed
2016,Front Yard Parking,14,28,14,In Favour
2016,Appeal - Front Yard Parking,87,253,89,In Favour
2016,Appeal - Front Yard Parking,53,151,62,In Favour
2016,Front Yard Parking,34,83,40,In Favour
2016,Appeal - Front Yard Parking,8,37,23,Opposed
2016,Appeal - Front Yard Parking,23,138,33,In Favour
2016,Appeal - Front Yard Parking,12,80,43,Opposed
2016,Appeal - Front Yard Parking,24,85,34,In Favour
2016,Front Yard Parking,46,86,50,In Favour
2016,Front Yard Parking,54,96,56,In Favour
2016,Boulevard Cafe,17,131,36,Opposed
2016,Appeal - Front Yard Parking,11,66,15,In Favour
2016,Boulevard Cafe,8,76,27,Opposed
2016,Boulevard Cafe,9,44,10,In Favour
2016,Proposed Business Improvement Area,6,29,8,In Favour
2016,Front Yard Parking,25,61,30,In Favour
2016,Front Yard Parking,52,126,56,In Favour
2016,Appeal - Front Yard Parking,21,98,29,In Favour
2016,Traffic Calming,12,25,15,In Favour
2016,Front Yard Parking,51,153,51,In Favour
2016,Appeal - Front Yard Parking,24,69,30,In Favour
2016,Appeal - Front Yard Parking,14,51,14,In Favour
2016,Appeal - Front Yard Parking,61,149,67,In Favour
2016,Appeal - Front Yard Parking,64,117,69,In Favour
2016,Appeal - Front Yard Parking,67,117,72,In Favour
2016,Boulevard Cafe,4,63,23,Opposed
2016,Front Yard Parking,57,212,64,In Favour
2016,Traffic Calming,50,140,80,Opposed
2016,Traffic Calming,32,63,34,In Favour
2016,Front Yard Parking,33,67,37,In Favour
2016,Appeal - Front Yard Parking,21,51,23,In Favour
2016,Appeal - Front Yard Parking,44,89,49,In Favour
2016,Front Yard Parking,20,29,22,In Favour
2016,Appeal - Front Yard Parking,10,35,15,In Favour
2016,Permit Parking,2,6,2,Opposed
2016,Front Yard Parking,40,93,41,In Favour
2016,Boulevard Cafe,2,47,15,Opposed
